timestamp,ip_src,ip_dst,ip_proto,sport,dport,tcp_flags,label
1718872145.697945,192.168.200.95,224.0.0.251,17,5353,5353,0,0
1718872145.767045,192.168.200.95,224.0.0.251,17,5353,5353,0,0
1718872145.826447,192.168.200.95,224.0.0.252,17,60460,5355,0,0
1718872145.892681,192.168.200.95,255.255.255.255,17,68,67,0,0
1718872145.954419,192.168.200.95,239.255.102.18,17,55181,50001,0,0
1718872146.021412,192.168.200.95,239.255.102.18,17,55182,50002,0,0
1718872146.088249,192.168.200.95,239.255.102.18,17,55183,50003,0,0
1718872146.154156,192.168.200.73,224.0.0.251,17,5353,5353,0,0
1718872146.217948,192.168.200.95,239.255.255.250,17,58485,3702,0,0
1718872146.284523,192.168.200.95,224.0.0.22,2,0,0,0,0
1718872146.354005,192.168.200.120,239.255.255.250,17,64078,1900,0,0
1718872146.417798,192.168.200.120,239.255.255.250,17,64080,1900,0,0
1718872146.488578,192.168.200.79,239.255.255.250,17,58578,1900,0,0
1718872146.554485,192.168.200.79,239.255.255.250,17,58580,1900,0,0
1718872146.632398,192.168.200.95,239.255.255.250,17,63060,1900,0,0
1718872146.700627,192.168.200.95,239.255.255.250,17,63060,1900,0,0
1718872146.822771,192.168.200.95,239.255.255.250,17,63060,1900,0,0
1718872146.905022,192.168.200.95,239.255.255.250,17,63060,1900,0,0
1718872146.970007,192.168.200.95,239.255.255.250,17,63060,1900,0,0
1718872147.041673,192.168.200.95,239.255.255.250,17,63060,1900,0,0
1718872147.116942,192.168.200.95,239.255.255.250,17,63060,1900,0,0
1718872147.19154,192.168.200.95,239.255.255.250,17,51821,3702,0,0
1718872147.261797,192.168.200.95,239.255.255.250,17,63060,1900,0,0
1718872147.319683,192.168.200.95,239.255.255.250,17,63060,1900,0,0
1718872147.385962,192.168.200.95,224.0.0.251,17,5353,5353,0,0
1718872147.460984,192.168.200.95,239.255.255.250,17,63060,1900,0,0
1718872147.529953,192.168.200.95,224.0.0.251,17,5353,5353,0,0
1718872147.584928,192.168.200.95,239.255.255.250,17,63060,1900,0,0
1718872147.651619,192.168.200.95,239.255.255.250,17,63060,1900,0,0
1718872147.734174,192.168.200.95,239.255.255.250,17,63060,1900,0,0
1718872147.798824,192.168.200.95,239.255.102.18,17,62616,50001,0,0
1718872147.870998,192.168.200.95,239.255.102.18,17,62617,50002,0,0
1718872147.958985,192.168.200.95,239.255.102.18,17,62618,50003,0,0
1718872148.019551,192.168.200.95,239.255.255.250,17,63060,1900,0,0
1718872148.086259,192.168.200.73,224.0.0.251,17,5353,5353,0,0
1718872148.160009,192.168.200.73,224.0.0.251,17,5353,5353,0,0
1718872148.224152,192.168.200.95,239.255.255.250,17,63060,1900,0,0
1718872148.293902,192.168.200.95,239.255.255.250,17,63060,1900,0,0
1718872148.359031,192.168.200.95,239.255.255.250,17,63060,1900,0,0
1718872148.432694,192.168.200.95,239.255.255.250,17,63060,1900,0,0
1718872148.511315,192.168.200.95,239.255.255.250,17,63060,1900,0,0
1718872148.574173,192.168.200.95,239.255.255.250,17,63060,1900,0,0
1718872148.650715,192.168.200.95,239.255.255.250,17,63060,1900,0,0
1718872148.715578,192.168.200.95,239.255.255.250,17,63060,1900,0,0
1718872148.782158,192.168.200.95,239.255.255.250,17,63060,1900,0,0
1718872148.85015,192.168.200.120,239.255.255.250,17,64078,1900,0,0
1718872148.925693,192.168.200.120,239.255.255.250,17,64080,1900,0,0
1718872148.998968,52.108.56.17,192.168.200.120,6,443,49737,PA,0
1718872149.06705,192.168.200.120,52.108.56.17,6,49737,443,A,0
1718872149.133445,192.168.200.78,224.0.0.251,17,5353,5353,0,0
1718872149.207232,192.168.200.95,239.255.255.250,17,51821,3702,0,0
1718872149.269239,192.168.200.73,224.0.0.251,17,5353,5353,0,0
1718872149.345419,192.168.200.95,239.255.102.18,17,61716,50003,0,0
1718872149.416788,192.168.200.95,239.255.102.18,17,61714,50001,0,0
1718872149.490043,192.168.200.95,239.255.102.18,17,61715,50002,0,0
1718872149.564143,192.168.200.73,224.0.0.251,17,5353,5353,0,0
1718872149.637105,192.168.200.73,224.0.0.251,17,5353,5353,0,0
1718872149.706751,192.168.200.73,224.0.0.251,17,5353,5353,0,0
1718872149.772766,192.168.200.95,239.255.255.250,17,63060,1900,0,0
1718872149.838631,192.168.200.73,224.0.0.251,17,5353,5353,0,0
1718872149.914483,192.168.200.73,224.0.0.251,17,5353,5353,0,0
1718872149.981266,192.168.200.120,239.255.255.250,17,64078,1900,0,0
1718872150.047801,192.168.200.120,239.255.255.250,17,64080,1900,0,0
1718872150.117171,192.168.200.95,239.255.255.250,17,64982,1900,0,0
